Itemset,Length,Support
"Activities=yes, School=GP",2,0.4684
"Result=Pass, Romantic=no",2,0.4684
"FamilySize=GT3, Result=Pass",2,0.4684
"School=GP, Sex=F",2,0.4633
"AgeGroup=<=16, HigherEducation=yes",2,0.4633
"FamilySize=GT3, FamilySupport=yes",2,0.4608
"G1Level=Medium, HigherEducation=yes",2,0.4582
"Activities=no, HigherEducation=yes",2,0.4557
"School=GP, StudyTime=2-5 hrs",2,0.4456
"G2Level=Medium, HigherEducation=yes",2,0.4456
"G2Level=Medium, Result=Pass",2,0.4405
"SchoolSupport=no, Sex=F",2,0.4354
"Activities=no, SchoolSupport=no",2,0.4354
"SchoolSupport=no, Sex=M",2,0.4354
"Activities=yes, SchoolSupport=no",2,0.4354
"Activities=yes, Internet=yes",2,0.4329
"HigherEducation=yes, Sex=M",2,0.4329
"AgeGroup=17-18, SchoolSupport=no",2,0.4329
"Absences=Low, HigherEducation=yes",2,0.4329
"Internet=yes, Sex=F",2,0.4304
"Failures=0, Sex=F",2,0.4253
"SchoolSupport=no, StudyTime=2-5 hrs",2,0.4253
"AgeGroup=17-18, HigherEducation=yes",2,0.4228
"G1Level=Medium, SchoolSupport=no",2,0.4203
"School=GP, Sex=M",2,0.4203
"G1Level=Medium, School=GP",2,0.4177
"Failures=0, G1Level=Medium",2,0.4152
"Address=U, Sex=F",2,0.4152
"Activities=no, School=GP",2,0.4152
"Address=U, StudyTime=2-5 hrs",2,0.4127
"G1Level=Medium, Result=Pass",2,0.4101
"Activities=yes, Failures=0",2,0.4101
"G2Level=Medium, School=GP",2,0.4076
"Internet=yes, StudyTime=2-5 hrs",2,0.4076
"Absences=Low, School=GP",2,0.4076
"AgeGroup=<=16, Internet=yes",2,0.4076
"Address=U, AgeGroup=<=16",2,0.4051
"Absences=Low, SchoolSupport=no",2,0.4051
"FamilySupport=yes, Romantic=no",2,0.4051
"AgeGroup=<=16, Failures=0",2,0.4025
"Internet=yes, Sex=M",2,0.4025
"Activities=no, Internet=yes",2,0.4
"Failures=0, StudyTime=2-5 hrs",2,0.4
"G2Level=Medium, SchoolSupport=no",2,0.4
"G1Level=Medium, Internet=yes",2,0.4
"FamilySupport=yes, Result=Pass",2,0.3975
"FamilySize=GT3, Sex=F",2,0.3949
"Failures=0, G2Level=Medium",2,0.3924
"Activities=no, Address=U",2,0.3924
"G2Level=Medium, Internet=yes",2,0.3899
"Activities=yes, Address=U",2,0.3848
"Absences=Low, Failures=0",2,0.3797
"Activities=no, Failures=0",2,0.3797
"Absences=Low, Internet=yes",2,0.3772
"AgeGroup=17-18, Internet=yes",2,0.3747
"Address=U, G1Level=Medium",2,0.3747
"AgeGroup=17-18, Failures=0",2,0.3722
"Absences=Low, Address=U",2,0.3671
"AgeGroup=<=16, SchoolSupport=no",2,0.3671
"G1Level=Medium, G2Level=Medium",2,0.3646
"Failures=0, Sex=M",2,0.3646
"Address=U, G2Level=Medium",2,0.3646
"Activities=yes, FamilySize=GT3",2,0.362
"AgeGroup=17-18, School=GP",2,0.362
"Address=U, Sex=M",2,0.362
"Absences=Medium, HigherEducation=yes",2,0.3595
"FamilySupport=yes, Sex=F",2,0.3595
"FamilySupport=no, HigherEducation=yes",2,0.357
"FamilySupport=no, SchoolSupport=no",2,0.3544
"AgeGroup=<=16, Romantic=no",2,0.3519
"Activities=no, FamilySize=GT3",2,0.3494
"AgeGroup=<=16, Result=Pass",2,0.3494
"AgeGroup=<=16, FamilySize=GT3",2,0.3468
"Activities=yes, Result=Pass",2,0.3443
"Absences=Low, FamilySize=GT3",2,0.3418
"Romantic=no, Sex=M",2,0.3392
"FamilySize=GT3, G1Level=Medium",2,0.3367
"Result=Pass, Sex=F",2,0.3367
"Activities=yes, Romantic=no",2,0.3342
"G2Level=Low, HigherEducation=yes",2,0.3342
"Result=Pass, Sex=M",2,0.3342
"FamilySize=GT3, StudyTime=2-5 hrs",2,0.3316
"Activities=no, Romantic=no",2,0.3316
"Activities=no, Result=Pass",2,0.3266
"G1Level=Low, HigherEducation=yes",2,0.3266
"Romantic=no, Sex=F",2,0.3266
"Result=Pass, StudyTime=2-5 hrs",2,0.3241
"FamilySupport=yes, StudyTime=2-5 hrs",2,0.3241
"FamilySize=GT3, G2Level=Medium",2,0.3215
"Absences=Low, Romantic=no",2,0.319
"Romantic=no, StudyTime=2-5 hrs",2,0.319
"Absences=Medium, School=GP",2,0.319
"G2Level=Low, School=GP",2,0.319
"Address=U, AgeGroup=17-18",2,0.319
"Absences=Medium, SchoolSupport=no",2,0.319
"FamilySupport=no, School=GP",2,0.3165
"FamilySize=GT3, Sex=M",2,0.3165
"G1Level=Low, School=GP",2,0.3165
"AgeGroup=<=16, FamilySupport=yes",2,0.3139
"Absences=Medium, Failures=0",2,0.3114
"Activities=yes, FamilySupport=yes",2,0.3114
"G2Level=Low, Result=Fail",2,0.3089
"AgeGroup=17-18, FamilySize=GT3",2,0.3089
"Absences=Medium, Internet=yes",2,0.3063
"HigherEducation=yes, Romantic=yes",2,0.3063
"G2Level=Low, SchoolSupport=no",2,0.3063
"G2Level=Medium, Romantic=no",2,0.3063
"Absences=Low, Result=Pass",2,0.3063
"Romantic=yes, SchoolSupport=no",2,0.3038
"FamilySupport=no, Internet=yes",2,0.3038
"Activities=no, FamilySupport=yes",2,0.3013
"G1Level=Low, G2Level=Low",2,0.2987
"G1Level=Medium, Romantic=no",2,0.2987
"Address=U, FamilySupport=no",2,0.2962
"HigherEducation=yes, Result=Fail",2,0.2962
"Internet=yes, Romantic=yes",2,0.2937
"Failures=0, FamilySupport=no",2,0.2911
"AgeGroup=17-18, Result=Pass",2,0.2886
"FamilySupport=yes, G1Level=Medium",2,0.2886
"G2Level=Low, Internet=yes",2,0.2886
"G1Level=Low, Internet=yes",2,0.2886
"G1Level=Low, SchoolSupport=no",2,0.2886
"FamilySupport=yes, G2Level=Medium",2,0.2861
"Romantic=yes, School=GP",2,0.2861
"Result=Fail, School=GP",2,0.2861
"Absences=Low, FamilySupport=yes",2,0.2861
"Sex=F, StudyTime=2-5 hrs",2,0.2861
"Activities=no, Sex=F",2,0.2835
"FamilySize=GT3, G2Level=Low",2,0.2785
"FamilySize=LE3, HigherEducation=yes",2,0.2734
"Absences=Medium, Result=Pass",2,0.2734
"AgeGroup=17-18, Romantic=no",2,0.2734
"Absences=Medium, Address=U",2,0.2734
"FamilySupport=no, Result=Pass",2,0.2734
"Result=Fail, SchoolSupport=no",2,0.2709
"Address=U, G1Level=Low",2,0.2684
"Address=U, G2Level=Low",2,0.2684
"Activities=yes, Sex=M",2,0.2658
"Activities=yes, AgeGroup=<=16",2,0.2658
"AgeGroup=17-18, FamilySupport=yes",2,0.2633
"Internet=yes, Result=Fail",2,0.2633
"FamilySize=GT3, G1Level=Low",2,0.2633
"G1Level=Low, Result=Fail",2,0.2633
"Absences=Medium, FamilySize=GT3",2,0.2633
"Activities=yes, StudyTime=2-5 hrs",2,0.2608
"FamilySupport=no, Romantic=no",2,0.2608
"Address=U, Romantic=yes",2,0.2608
"Absences=Medium, Romantic=no",2,0.2582
"AgeGroup=17-18, Sex=F",2,0.2557
"FamilySize=LE3, SchoolSupport=no",2,0.2557
"FamilySupport=yes, Sex=M",2,0.2532
"Absences=Low, AgeGroup=<=16",2,0.2532
"FamilySize=GT3, FamilySupport=no",2,0.2506
"G1Level=Medium, Sex=F",2,0.2481
"Address=U, Result=Fail",2,0.2456
"FamilySize=LE3, School=GP",2,0.2456
"Absences=Low, Sex=F",2,0.2456
"G1Level=Low, Romantic=no",2,0.2456
"Absences=Low, StudyTime=2-5 hrs",2,0.243
"G2Level=Medium, Sex=F",2,0.243
"Activities=yes, Sex=F",2,0.243
"Failures=0, Romantic=yes",2,0.243
"FamilySize=GT3, Result=Fail",2,0.243
"SchoolSupport=no, StudyTime=<2 hrs",2,0.2405
"Activities=yes, G2Level=Medium",2,0.2405
"FamilySize=LE3, Internet=yes",2,0.2405
"Activities=no, StudyTime=2-5 hrs",2,0.2405
"Activities=no, AgeGroup=17-18",2,0.2405
"Address=U, FamilySize=LE3",2,0.238
"Activities=yes, G1Level=Medium",2,0.238
"AgeGroup=<=16, Sex=M",2,0.238
"Activities=no, G1Level=Medium",2,0.238
"FamilySupport=yes, G1Level=Low",2,0.2354
"Absences=Low, Activities=no",2,0.2354
"HigherEducation=yes, StudyTime=<2 hrs",2,0.2354
"AgeGroup=<=16, StudyTime=2-5 hrs",2,0.2329
"G1Level=Medium, StudyTime=2-5 hrs",2,0.2329
"AgeGroup=<=16, Sex=F",2,0.2329
"AgeGroup=17-18, StudyTime=2-5 hrs",2,0.2329
"FamilySupport=yes, G2Level=Low",2,0.2329
"G2Level=Low, Romantic=no",2,0.2304
"Failures=0, G2Level=Low",2,0.2304
"FamilySize=GT3, Romantic=yes",2,0.2304
"G2Level=Medium, StudyTime=2-5 hrs",2,0.2304
"Absences=Low, Activities=yes",2,0.2278
"G1Level=Medium, Sex=M",2,0.2278
"AgeGroup=<=16, G1Level=Medium",2,0.2278
"Failures=0, FamilySize=LE3",2,0.2278
"AgeGroup=<=16, G2Level=Medium",2,0.2253
"School=GP, StudyTime=<2 hrs",2,0.2253
"AgeGroup=17-18, G1Level=Medium",2,0.2228
"Failures=0, G1Level=Low",2,0.2228
"Activities=no, G2Level=Medium",2,0.2203
"FamilySupport=no, Sex=M",2,0.2203
"Absences=Low, Sex=M",2,0.2177
"Internet=yes, StudyTime=<2 hrs",2,0.2177
"G2Level=Medium, Sex=M",2,0.2177
"Sex=M, StudyTime=2-5 hrs",2,0.2152
"Activities=yes, AgeGroup=17-18",2,0.2152
"Absences=Low, G1Level=Medium",2,0.2152
"FamilySupport=yes, Result=Fail",2,0.2152
"Absences=Medium, FamilySupport=yes",2,0.2152
"G2Level=Low, Sex=F",2,0.2101
"FamilySupport=yes, Romantic=yes",2,0.2076
"Activities=no, Sex=M",2,0.2076
"Address=R, HigherEducation=yes",2,0.2076
"G1Level=Low, Sex=F",2,0.2076
"AgeGroup=17-18, G2Level=Medium",2,0.2051
"Activities=no, AgeGroup=<=16",2,0.2051
"Absences=Medium, Activities=yes",2,0.2051
"FamilySize=LE3, Result=Pass",2,0.2025
"Result=Pass, Romantic=yes",2,0.2025
"AgeGroup=17-18, Sex=M",2,0.2
"Romantic=no, StudyTime=<2 hrs",2,0.2
"Romantic=yes, Sex=F",2,0.2
"Result=Fail, Romantic=no",2,0.1975
"Activities=yes, FamilySupport=no",2,0.1975
"Failures=0, Result=Fail",2,0.1975
"Address=R, SchoolSupport=no",2,0.1975
"Address=U, StudyTime=<2 hrs",2,0.1975
"Sex=M, StudyTime=<2 hrs",2,0.1975
"G2Level=Low, StudyTime=2-5 hrs",2,0.1949
"Absences=Low, G2Level=Medium",2,0.1949
"G1Level=Low, StudyTime=2-5 hrs",2,0.1949
"AgeGroup=17-18, FamilySupport=no",2,0.1924
"Activities=no, G2Level=Low",2,0.1924
"Absences=Low, AgeGroup=17-18",2,0.1899
"Result=Fail, Sex=F",2,0.1899
"Absences=Medium, G2Level=Medium",2,0.1899
"Activities=no, FamilySupport=no",2,0.1899
"FamilySize=GT3, StudyTime=<2 hrs",2,0.1873
"Failures=0, StudyTime=<2 hrs",2,0.1873
"AgeGroup=17-18, G2Level=Low",2,0.1873
"Absences=Medium, Sex=F",2,0.1873
"FamilySupport=no, G1Level=Medium",2,0.1873
"FamilySize=LE3, Romantic=no",2,0.1848
"AgeGroup=17-18, Romantic=yes",2,0.1823
"Absences=Medium, Sex=M",2,0.1823
"Activities=no, G1Level=Low",2,0.1823
"Romantic=yes, StudyTime=2-5 hrs",2,0.1823
"HigherEducation=yes, Internet=yes, School=GP",3,0.7165
"HigherEducation=yes, School=GP, SchoolSupport=no",3,0.7139
"Failures=0, HigherEducation=yes, School=GP",3,0.6937
"Address=U, HigherEducation=yes, School=GP",3,0.6911
"HigherEducation=yes, Internet=yes, SchoolSupport=no",3,0.6886
"Failures=0, HigherEducation=yes, SchoolSupport=no",3,0.6709
"Failures=0, HigherEducation=yes, Internet=yes",3,0.6532
"Address=U, HigherEducation=yes, Internet=yes",3,0.6506
"Internet=yes, School=GP, SchoolSupport=no",3,0.6456
"Address=U, Internet=yes, School=GP",3,0.643
"Address=U, HigherEducation=yes, SchoolSupport=no",3,0.6405
"Address=U, Failures=0, HigherEducation=yes",3,0.6203
"Address=U, School=GP, SchoolSupport=no",3,0.6203
"Failures=0, School=GP, SchoolSupport=no",3,0.6076
"Failures=0, Internet=yes, School=GP",3,0.6076
"FamilySize=GT3, HigherEducation=yes, School=GP",3,0.6025
"Address=U, Internet=yes, SchoolSupport=no",3,0.5949
"Failures=0, Internet=yes, SchoolSupport=no",3,0.5924
"Address=U, Failures=0, School=GP",3,0.5899
"HigherEducation=yes, Result=Pass, SchoolSupport=no",3,0.5848
"HigherEducation=yes, Result=Pass, School=GP",3,0.5848
"FamilySize=GT3, HigherEducation=yes, SchoolSupport=no",3,0.5823
"Failures=0, HigherEducation=yes, Result=Pass",3,0.5823
"HigherEducation=yes, Romantic=no, School=GP",3,0.5772
"FamilySize=GT3, HigherEducation=yes, Internet=yes",3,0.562
"Address=U, Failures=0, Internet=yes",3,0.562
"HigherEducation=yes, Internet=yes, Result=Pass",3,0.557
"FamilySupport=yes, HigherEducation=yes, School=GP",3,0.5494
"Failures=0, FamilySize=GT3, HigherEducation=yes",3,0.5468
"HigherEducation=yes, Romantic=no, SchoolSupport=no",3,0.5468
"Address=U, Failures=0, SchoolSupport=no",3,0.5443
"FamilySize=GT3, School=GP, SchoolSupport=no",3,0.5418
"Failures=0, HigherEducation=yes, Romantic=no",3,0.5418
"FamilySize=GT3, Internet=yes, School=GP",3,0.5418
"Failures=0, Result=Pass, SchoolSupport=no",3,0.5367
"Result=Pass, School=GP, SchoolSupport=no",3,0.5266
"Failures=0, Result=Pass, School=GP",3,0.5266
"HigherEducation=yes, Internet=yes, Romantic=no",3,0.5241
"Address=U, HigherEducation=yes, Result=Pass",3,0.519
"FamilySize=GT3, Internet=yes, SchoolSupport=no",3,0.5165
"Failures=0, FamilySize=GT3, School=GP",3,0.5139
"FamilySupport=yes, HigherEducation=yes, Internet=yes",3,0.5139
"Internet=yes, Result=Pass, School=GP",3,0.5139
"Address=U, FamilySize=GT3, School=GP",3,0.5139
"Failures=0, Internet=yes, Result=Pass",3,0.5114
"Internet=yes, Result=Pass, SchoolSupport=no",3,0.5114
"Address=U, FamilySize=GT3, HigherEducation=yes",3,0.5089
"Failures=0, Romantic=no, School=GP",3,0.5038
"FamilySupport=yes, HigherEducation=yes, SchoolSupport=no",3,0.4987
"Romantic=no, School=GP, SchoolSupport=no",3,0.4987
"Address=U, HigherEducation=yes, Romantic=no",3,0.4962
"Address=U, Result=Pass, School=GP",3,0.4962
"Address=U, Romantic=no, School=GP",3,0.4937
"Internet=yes, Romantic=no, School=GP",3,0.4937
"FamilySupport=yes, Internet=yes, School=GP",3,0.4911
"Failures=0, FamilySupport=yes, HigherEducation=yes",3,0.4886
"Failures=0, FamilySize=GT3, SchoolSupport=no",3,0.4861
"Address=U, Internet=yes, Result=Pass",3,0.4785
"Address=U, Failures=0, Result=Pass",3,0.4759
"Address=U, Result=Pass, SchoolSupport=no",3,0.4734
"Address=U, FamilySize=GT3, Internet=yes",3,0.4734
"FamilySupport=yes, School=GP, SchoolSupport=no",3,0.4709
"Failures=0, FamilySize=GT3, Internet=yes",3,0.4684
"Failures=0, Romantic=no, SchoolSupport=no",3,0.4684
"Address=U, FamilySize=GT3, SchoolSupport=no",3,0.4658
"Failures=0, FamilySupport=yes, School=GP",3,0.4658
"Address=U, FamilySupport=yes, HigherEducation=yes",3,0.4658
"AgeGroup=<=16, HigherEducation=yes, School=GP",3,0.4633
"Address=U, FamilySupport=yes, School=GP",3,0.4608
"Internet=yes, Romantic=no, SchoolSupport=no",3,0.4608
"FamilySize=GT3, HigherEducation=yes, Romantic=no",3,0.4608
"Activities=yes, HigherEducation=yes, School=GP",3,0.4582
"FamilySize=GT3, HigherEducation=yes, Result=Pass",3,0.4557
"HigherEducation=yes, Result=Pass, Romantic=no",3,0.4557
"HigherEducation=yes, School=GP, Sex=F",3,0.4532
"Failures=0, Internet=yes, Romantic=no",3,0.4506
"Address=U, Internet=yes, Romantic=no",3,0.4481
"FamilySupport=yes, Internet=yes, SchoolSupport=no",3,0.4481
"Address=U, Failures=0, FamilySize=GT3",3,0.443
"FamilySize=GT3, FamilySupport=yes, HigherEducation=yes",3,0.443
"Address=U, Romantic=no, SchoolSupport=no",3,0.438
"FamilySize=GT3, Romantic=no, School=GP",3,0.4354
"Address=U, Failures=0, Romantic=no",3,0.4329
"HigherEducation=yes, School=GP, StudyTime=2-5 hrs",3,0.4278
"Result=Pass, Romantic=no, School=GP",3,0.4278
"Failures=0, FamilySupport=yes, Internet=yes",3,0.4278
"Activities=yes, HigherEducation=yes, Internet=yes",3,0.4253
"FamilySize=GT3, Result=Pass, School=GP",3,0.4253
"FamilySize=GT3, FamilySupport=yes, School=GP",3,0.4253
"G2Level=Medium, HigherEducation=yes, Result=Pass",3,0.4253
"HigherEducation=yes, SchoolSupport=no, Sex=F",3,0.4253
"HigherEducation=yes, Internet=yes, Sex=F",3,0.4228
"Activities=yes, HigherEducation=yes, SchoolSupport=no",3,0.4228
"Failures=0, FamilySupport=yes, SchoolSupport=no",3,0.4228
"Failures=0, Result=Pass, Romantic=no",3,0.4228
"Address=U, FamilySupport=yes, Internet=yes",3,0.4203
"Failures=0, HigherEducation=yes, Sex=F",3,0.4177
"Failures=0, FamilySize=GT3, Result=Pass",3,0.4177
"Result=Pass, Romantic=no, SchoolSupport=no",3,0.4127
"FamilySize=GT3, Result=Pass, SchoolSupport=no",3,0.4127
"Address=U, HigherEducation=yes, Sex=F",3,0.4101
"Activities=yes, Failures=0, HigherEducation=yes",3,0.4076
"AgeGroup=<=16, Internet=yes, School=GP",3,0.4076
"Address=U, FamilySupport=yes, SchoolSupport=no",3,0.4076
"HigherEducation=yes, SchoolSupport=no, StudyTime=2-5 hrs",3,0.4051
"G1Level=Medium, HigherEducation=yes, School=GP",3,0.4051
"Address=U, AgeGroup=<=16, School=GP",3,0.4051
"G1Level=Medium, HigherEducation=yes, SchoolSupport=no",3,0.4025
"FamilySize=GT3, Romantic=no, SchoolSupport=no",3,0.4025
"Failures=0, G1Level=Medium, HigherEducation=yes",3,0.4025
"AgeGroup=17-18, HigherEducation=yes, SchoolSupport=no",3,0.4025
"Address=U, HigherEducation=yes, StudyTime=2-5 hrs",3,0.4025
"AgeGroup=<=16, HigherEducation=yes, Internet=yes",3,0.4025
"AgeGroup=<=16, Failures=0, School=GP",3,0.4025
"Activities=yes, Internet=yes, School=GP",3,0.4025
"Activities=no, HigherEducation=yes, SchoolSupport=no",3,0.4
"Address=U, Failures=0, FamilySupport=yes",3,0.4
"HigherEducation=yes, SchoolSupport=no, Sex=M",3,0.3975
"G2Level=Medium, HigherEducation=yes, School=GP",3,0.3975
"Address=U, AgeGroup=<=16, HigherEducation=yes",3,0.3975
"AgeGroup=<=16, Failures=0, HigherEducation=yes",3,0.3975
"FamilySupport=yes, HigherEducation=yes, Romantic=no",3,0.3975
"FamilySize=GT3, FamilySupport=yes, Internet=yes",3,0.3975
"G1Level=Medium, HigherEducation=yes, Result=Pass",3,0.3949
"Activities=yes, School=GP, SchoolSupport=no",3,0.3949
"FamilySize=GT3, Internet=yes, Result=Pass",3,0.3949
"HigherEducation=yes, Internet=yes, StudyTime=2-5 hrs",3,0.3949
"Failures=0, FamilySize=GT3, Romantic=no",3,0.3924
"Failures=0, HigherEducation=yes, StudyTime=2-5 hrs",3,0.3899
"Internet=yes, Result=Pass, Romantic=no",3,0.3899
"HigherEducation=yes, School=GP, Sex=M",3,0.3873
"G2Level=Medium, Result=Pass, School=GP",3,0.3873
"FamilySupport=yes, HigherEducation=yes, Result=Pass",3,0.3873
"G1Level=Medium, HigherEducation=yes, Internet=yes",3,0.3873
"Internet=yes, School=GP, Sex=F",3,0.3873
"G2Level=Medium, Result=Pass, SchoolSupport=no",3,0.3873
"FamilySize=GT3, Internet=yes, Romantic=no",3,0.3848
"FamilySize=GT3, FamilySupport=yes, SchoolSupport=no",3,0.3848
"FamilySupport=yes, Romantic=no, School=GP",3,0.3848
"Address=U, School=GP, Sex=F",3,0.3848
"FamilySize=GT3, HigherEducation=yes, Sex=F",3,0.3848
"G2Level=Medium, HigherEducation=yes, SchoolSupport=no",3,0.3848
"School=GP, SchoolSupport=no, Sex=M",3,0.3823
"Activities=no, HigherEducation=yes, School=GP",3,0.3823
"Address=U, School=GP, StudyTime=2-5 hrs",3,0.3823
"Failures=0, G2Level=Medium, HigherEducation=yes",3,0.3823
"G2Level=Medium, HigherEducation=yes, Internet=yes",3,0.3797
"Activities=yes, Failures=0, School=GP",3,0.3797
"Activities=yes, Address=U, HigherEducation=yes",3,0.3797
"Absences=Low, HigherEducation=yes, School=GP",3,0.3797
"Absences=Low, HigherEducation=yes, SchoolSupport=no",3,0.3772
"Failures=0, G2Level=Medium, Result=Pass",3,0.3772
"Internet=yes, School=GP, StudyTime=2-5 hrs",3,0.3747
"Failures=0, School=GP, Sex=F",3,0.3747
"School=GP, SchoolSupport=no, Sex=F",3,0.3722
"Absences=Low, Failures=0, HigherEducation=yes",3,0.3722
"Address=U, FamilySize=GT3, Romantic=no",3,0.3696
"G2Level=Medium, Internet=yes, Result=Pass",3,0.3696
"Address=U, FamilySize=GT3, Result=Pass",3,0.3696
"Activities=yes, Address=U, School=GP",3,0.3696
"HigherEducation=yes, Internet=yes, Sex=M",3,0.3696
"Activities=yes, Internet=yes, SchoolSupport=no",3,0.3696
"School=GP, SchoolSupport=no, StudyTime=2-5 hrs",3,0.3696
"G1Level=Medium, Result=Pass, SchoolSupport=no",3,0.3696
"Failures=0, G1Level=Medium, SchoolSupport=no",3,0.3671
"Activities=no, HigherEducation=yes, Internet=yes",3,0.3671
"Failures=0, FamilySize=GT3, FamilySupport=yes",3,0.3671
"Internet=yes, SchoolSupport=no, Sex=M",3,0.3671
"FamilySupport=yes, Result=Pass, School=GP",3,0.3671
"AgeGroup=<=16, School=GP, SchoolSupport=no",3,0.3671
"Address=U, G1Level=Medium, HigherEducation=yes",3,0.3646
"Activities=no, Failures=0, HigherEducation=yes",3,0.3646
"G1Level=Medium, Internet=yes, School=GP",3,0.3646
"Failures=0, G1Level=Medium, School=GP",3,0.3646
"Internet=yes, School=GP, Sex=M",3,0.3646
"Address=U, Result=Pass, Romantic=no",3,0.362
"AgeGroup=17-18, Failures=0, HigherEducation=yes",3,0.362
"Failures=0, G1Level=Medium, Result=Pass",3,0.362
"Activities=no, Address=U, HigherEducation=yes",3,0.362
"G1Level=Medium, School=GP, SchoolSupport=no",3,0.362
"Activities=yes, Failures=0, Internet=yes",3,0.362
"AgeGroup=<=16, HigherEducation=yes, SchoolSupport=no",3,0.3595
"Address=U, FamilySize=GT3, FamilySupport=yes",3,0.3595
"Failures=0, FamilySupport=yes, Result=Pass",3,0.3595
"Internet=yes, SchoolSupport=no, Sex=F",3,0.3595
"Activities=no, School=GP, SchoolSupport=no",3,0.3595
"AgeGroup=17-18, Internet=yes, SchoolSupport=no",3,0.3595
"Failures=0, G1Level=Medium, Internet=yes",3,0.357
"Activities=yes, Failures=0, SchoolSupport=no",3,0.357
"Activities=no, Internet=yes, SchoolSupport=no",3,0.357
"Failures=0, School=GP, StudyTime=2-5 hrs",3,0.357
"Address=U, AgeGroup=<=16, Internet=yes",3,0.357
"Failures=0, SchoolSupport=no, Sex=F",3,0.357
"G1Level=Medium, Result=Pass, School=GP",3,0.357
"Activities=yes, FamilySize=GT3, HigherEducation=yes",3,0.357
"Address=U, G2Level=Medium, HigherEducation=yes",3,0.3544
"G1Level=Medium, Internet=yes, SchoolSupport=no",3,0.3544
"Failures=0, HigherEducation=yes, Sex=M",3,0.3544
"Absences=Low, HigherEducation=yes, Internet=yes",3,0.3544
"AgeGroup=17-18, Failures=0, SchoolSupport=no",3,0.3544
"Activities=no, Address=U, School=GP",3,0.3544
"G1Level=Medium, G2Level=Medium, Result=Pass",3,0.3544
"G1Level=Medium, Internet=yes, Result=Pass",3,0.3519
"G2Level=Medium, Internet=yes, School=GP",3,0.3519
"AgeGroup=<=16, Failures=0, Internet=yes",3,0.3519
"FamilySize=GT3, School=GP, Sex=F",3,0.3519
"Address=U, Internet=yes, StudyTime=2-5 hrs",3,0.3519
"Address=U, AgeGroup=<=16, Failures=0",3,0.3519
"AgeGroup=<=16, Romantic=no, School=GP",3,0.3519
"FamilySupport=yes, HigherEducation=yes, Sex=F",3,0.3519
"FamilySupport=yes, Result=Pass, SchoolSupport=no",3,0.3494
"Absences=Low, School=GP, SchoolSupport=no",3,0.3494
"Address=U, G1Level=Medium, School=GP",3,0.3494
